date	bin	turnover	price
20160303	10	2544412.477	196.4741961
20160303	11	1878309.726	196.4787725
20160303	12	1987291.745	196.2709441
20160303	13	1230622.436	196.5183684
20160303	14	1203986.809	196.6371559
20160303	15	1511286.09	196.7855906
20160303	16	1324673.869	196.7311712
20160303	17	1808084.508	197.08246
20160303	18	2452181.381	197.1518025
20160303	19	1877286.477	197.0528128
20160303	20	1884253.213	197.1320045
20160303	21	2277892.371	197.3596309
20160303	22	1911461.778	197.3585366
20160303	23	2572281.43	197.2210454
20160303	24	3470848.6	197.3892781
20160303	25	4061456.101	197.6070552
20160303	26	11441429.42	197.7308171
20160304	1	7368217.018	197.4289734
20160304	2	4958543.681	197.2556669
20160304	3	4410069.3	197.6763977
20160304	4	3352265.331	197.6477454
20160304	5	3798411.824	198.1266761
20160304	6	3815216.021	198.1810955
20160304	7	4616498.17	198.7156395
20160304	8	4710783.805	198.507811
20160304	9	2958043.182	198.4088214
20160304	10	2022312.382	198.6858928
20160304	11	2028427.751	198.5671053
20160304	12	1981725.192	198.5276089
20160304	13	2020056.813	198.4978623
20160304	14	2444649.748	198.7254887
20160304	15	2272685.664	198.5869032
20160304	16	1561104.633	198.8740228
20160304	17	2878642.901	199.0917005
20160304	18	2520534.998	199.1808409
20160304	19	2619296.593	198.8146291
20160304	20	3219168.616	198.507811
20160304	21	3429839.244	198.1662719
20160304	22	4827382.896	198.0030137
20160304	23	3728298.178	197.9089984
20160304	24	4310031.158	198.3790747
20160304	25	4368648.835	198.4186706
20160304	26	9433071.619	198.3790747
20160307	1	5500543.852	197.6862469
20160307	2	3788191.399	197.4289734
20160307	3	3352002.985	197.6466511
20160307	4	3397543.584	197.7753873
20160307	5	3180013.772	198.1712463
20160307	6	2571129.521	198.0128629
20160307	7	2035357.296	198.2979928
20160307	8	2058654.8	198.2108421
20160307	9	3418813.688	198.7552353
20160307	10	2191988.731	198.577054
20160307	11	1863441.459	198.4978623
20160307	12	1197920.693	198.577054
20160307	13	1188537.563	198.7948311
20160307	14	816368.5346	198.6958415
20160307	15	1869893.555	198.834427
20160307	16	2202195.085	198.4484172
20160307	17	2641098.424	198.3098318
20160307	18	1527015.775	198.3148061
20160307	19	1764971.36	198.2800851
20160307	20	2677091.047	197.8644282
20160307	21	2982886.615	197.6070552
20160307	22	2611157.845	197.7555894
20160307	23	3052346.909	197.9534691
20160307	24	4248599.044	198.2404893
20160307	25	4463821.018	198.3494276
20160307	26	8176279.949	198.5374581
20160308	1	6834386.754	196.8314541
20160308	2	4227050.512	196.9637719
20160308	3	3751829.884	196.8944295
20160308	4	3492281.539	196.6074093
20160308	5	3618639.689	196.5084197
20160308	6	3519394.615	196.5480155
20160308	7	3140348.31	196.7449999
20160308	8	2374644.659	196.9736211
20160308	9	2418914.741	196.9934191
20160308	10	2363459.284	197.2309942
20160308	11	2922514.941	197.4487713
20160308	12	2756529.524	197.6268531
20160308	13	2605963.199	197.3992268
20160308	14	2676859.861	197.4140503
20160308	15	2049651.618	197.2111962
20160308	16	2172629.429	197.6021803
20160308	17	2084366.688	197.7060448
20160308	18	2254460.177	197.6070552
20160308	19	2689703.744	197.7753873
20160308	20	3254551.109	197.3002371
20160308	21	3380450.908	197.2906864
20160308	22	2937805.373	197.0934036
20160308	23	4235310.883	196.8548336
20160308	24	4023885.383	196.537072
20160308	25	5278423.493	196.582637
20160308	26	21309023.91	196.3698342
20160309	1	5015930.042	197.1726947
20160309	2	3592203.083	197.1518025
20160309	3	3615771.979	196.8350357
20160309	4	2514305.042	197.1220558
20160309	5	4544866.739	197.4694646
20160309	6	5658623.718	196.6964502
20160309	7	3220121.504	196.9924242
20160309	8	2698318.935	197.4784185
20160309	9	2661218.63	197.4684697
20160309	10	2553776.51	197.6763977
20160309	11	1484765.052	197.5378122
20160309	12	1384097.682	197.5080656
20160309	13	1499969.04	197.2210454
20160309	14	2065595.401	196.9835699
20160309	15	1530470.496	197.0538077
20160309	16	1376394.167	196.9079597
20160309	17	1375522.697	196.9637719
20160309	18	1710157.193	197.3596309
20160309	19	1511269.003	197.2903879
20160309	20	1756001.349	197.3892781
